label,chunk_ms,lookahead_ms,t_algorithmic_ms,t_compute_p50_ms,t_compute_p95_ms,t_buffer_ms,t_e2e_p50_ms,t_e2e_p95_ms,rtf_p50,rtf_p95,feasible,preset,lookback_frames,T_query,T_kv,gflop_per_chunk,achieved_gflops,t_algorithmic_honest_ms,compute_stdev_ms,n_reps
tiny/L20/C40,40,20,60,0.97,1.15,0.0,60.97,61.15,0.0242,0.0288,True,tiny,100,2,103,0.1195,123.5,65.0,0.074,28
tiny/L40/C40,40,40,80,0.97,1.12,0.0,80.97,81.12,0.0243,0.0279,True,tiny,100,2,104,0.1205,124.2,85.0,0.082,28
tiny/L80/C40,40,80,120,0.98,1.2,0.0,120.98,121.2,0.0244,0.03,True,tiny,100,2,106,0.1226,125.5,125.0,0.087,28
tiny/L160/C40,40,160,200,0.96,1.16,0.0,200.96,201.16,0.024,0.0289,True,tiny,100,2,110,0.1269,131.9,205.0,0.08,28
tiny/L320/C40,40,320,360,1.0,1.25,0.0,361.0,361.25,0.025,0.0313,True,tiny,100,2,118,0.1353,135.3,365.0,0.128,28
tiny/L640/C40,40,640,680,1.04,1.29,0.0,681.04,681.29,0.026,0.0323,True,tiny,100,2,134,0.1522,146.2,685.0,0.099,28
tiny/L0/C80,80,0,80,1.02,1.24,0.0,81.02,81.24,0.0127,0.0154,True,tiny,100,4,104,0.132,129.9,85.0,0.095,28
tiny/L20/C80,80,20,100,1.01,1.29,0.0,101.01,101.29,0.0127,0.0161,True,tiny,100,4,105,0.133,131.3,105.0,0.098,28
tiny/L40/C80,80,40,120,1.02,1.21,0.0,121.02,121.21,0.0128,0.0151,True,tiny,100,4,106,0.1341,130.9,125.0,0.085,28
tiny/L80/C80,80,80,160,1.02,1.27,0.0,161.02,161.27,0.0127,0.0159,True,tiny,100,4,108,0.1362,133.7,165.0,0.095,28
tiny/L160/C80,80,160,240,1.02,1.21,0.0,241.02,241.21,0.0128,0.0152,True,tiny,100,4,112,0.1405,137.1,245.0,0.091,28
tiny/L320/C80,80,320,400,1.05,1.24,0.0,401.05,401.24,0.0131,0.0155,True,tiny,100,4,120,0.149,142.0,405.0,0.091,28
tiny/L640/C80,80,640,720,1.08,1.28,0.0,721.08,721.28,0.0135,0.016,True,tiny,100,4,136,0.1661,153.9,725.0,0.079,28
